episode,height,reward,steps,success,epsilon,actions_forward,actions_backward,actions_left,actions_right
1,60.29071819271334,-3.0472643754008883,76,False,0.999,3,2,0,0
2,58.300861307481725,-3.110734430184928,76,False,0.998001,2,1,3,0
3,50.74500933711621,-2.921863534388995,64,False,0.997002999,0,0,0,0
4,73.29020696424688,-3.043016540331603,90,False,0.996005996001,5,2,1,3
5,56.82309364740447,-2.8838488898708325,68,False,0.995009990004999,0,0,0,0
6,67.01324553890122,-3.4881386494179316,80,False,0.994014980014994,1,1,0,2
7,57.89454988599306,-3.224445039530491,69,False,0.993020965034979,0,0,0,0
8,78.1714755454966,-3.405800626756645,83,False,0.9920279440699441,0,0,1,0
9,62.8706289305712,-3.3840723438532123,78,False,0.9910359161258742,1,2,0,2
10,59.14093902644066,-3.353602450940202,87,False,0.9900448802097482,4,3,5,4
11,51.91391272042783,-3.3460780172483044,87,False,0.9890548353295385,6,6,7,2
12,50.21272990173742,-3.204567256516046,64,False,0.988065780494209,0,0,0,0
13,56.32077795536682,-3.285214512714539,68,False,0.9870777147137147,0,0,0,0
14,67.83920878110493,-2.926960344993429,88,False,0.986090636999001,3,4,2,3
15,50.06764288660023,-3.14171906437548,67,False,0.9851045463620021,0,1,0,1
16,75.12554579772814,-3.02900321869334,83,False,0.98411944181564,1,0,2,0
17,67.520051303992,-3.284239694092144,87,False,0.9831353223738244,4,3,2,2
18,77.8670236589531,3.8807194812647254,84,True,0.9821521870514506,0,0,0,2
19,51.157650181624525,18.16998606360384,67,True,0.9811700348643991,1,0,0,0
20,72.44314713341609,-3.197972033321154,78,False,0.9801888648295347,0,0,0,0
21,60.70282932783681,-3.5904043784238313,83,False,0.9792086759647052,1,1,7,2
22,50.44567827157063,-2.8605392218872208,71,False,0.9782294672887405,3,2,0,1
23,67.778585228344,-3.0932881807763977,79,False,0.9772512378214517,0,0,2,1
24,75.62548923499153,-3.2482063679280095,83,False,0.9762739865836303,0,1,1,0
25,56.87231428910724,-3.1904659296326203,71,False,0.9752977125970467,0,0,2,0
26,75.13709417590582,-3.6094432283568487,84,False,0.9743224148844496,1,1,1,0
27,69.55814393003082,-3.0234943579096196,76,False,0.9733480924695651,0,0,0,0
28,58.328525902038244,-3.329031536219913,82,False,0.9723747443770956,3,2,4,3
29,70.33500429641894,-3.241284246129384,77,False,0.9714023696327185,0,0,0,0
30,52.300270969816985,-3.382511729933305,66,False,0.9704309672630859,0,0,0,0
31,50.1786961829465,-3.134979812581499,64,False,0.9694605362958227,0,0,0,0
32,52.869314623457775,-3.055601120989373,68,False,0.9684910757595269,0,0,0,1
33,55.1357586439494,-2.742256460854314,75,False,0.9675225846837673,2,1,3,1
34,66.29466566434427,-3.094535070374759,77,False,0.9665550620990835,1,1,0,0
35,52.57175432033209,-2.975695915862523,68,False,0.9655885070369844,1,0,0,1
36,66.35071764512679,7.123750998865269,74,True,0.9646229185299474,0,0,0,0
37,75.56675521779567,14.057644246211265,83,True,0.9636582956114175,1,0,1,0
38,75.00189935354166,-3.4374652223995943,82,False,0.9626946373158061,1,0,0,0
39,74.29953060104549,-3.382689620540733,82,False,0.9617319426784903,0,1,1,0
40,67.10646895660403,-2.8171554484578163,78,False,0.9607702107358118,2,0,0,1
41,62.42070595970907,-3.352472469868682,74,False,0.959809440525076,0,0,0,1
42,71.87489546709497,-3.355002053182403,87,False,0.9588496310845509,3,2,2,1
43,67.12369149394593,-3.1008964230262093,80,False,0.9578907814534664,1,0,3,0
44,65.11124650556049,18.335383267025982,82,True,0.9569328906720129,2,1,1,3
45,54.18777105227556,-3.0887307827510124,69,False,0.9559759577813409,0,1,0,1
46,71.55816649846821,-3.3755002811708645,92,False,0.9550199818235596,3,4,3,4
47,61.747859308611645,-2.736280940898233,73,False,0.9540649618417361,0,0,0,1
48,67.38434758710699,-3.374882261706337,85,False,0.9531108968798944,4,3,1,1
49,69.52626373769428,-2.9087556948140967,76,False,0.9521577859830145,0,0,0,0
50,59.624157618897996,-3.3514324698807414,75,False,0.9512056281970315,1,1,2,0
51,51.57585241987676,-3.1865149889400115,69,False,0.9502544225688344,0,0,2,1
52,60.299396045958176,-3.033353303009849,74,False,0.9493041681462656,1,0,0,2
53,78.93000713880608,-3.395793816777988,84,False,0.9483548639781193,1,0,0,0
54,78.16363758597983,-3.4456476702099494,88,False,0.9474065091141411,2,0,3,1
55,72.63329673178782,-3.463783396848174,81,False,0.946459102605027,0,2,0,0
56,57.55911253356445,-3.4162561491606644,72,False,0.9455126435024219,1,0,1,0
57,76.4167732061233,-3.300380339101879,88,False,0.9445671308589195,1,1,1,4
58,73.90335721587374,9.385796945880141,82,True,0.9436225637280606,1,1,0,1
59,51.15904406361713,-3.3534652225318284,67,False,0.9426789411643326,0,1,0,0
60,65.7989450090422,-3.493464018280571,80,False,0.9417362622231683,0,2,1,2
61,62.93573760256984,-3.066154820079369,79,False,0.9407945259609451,3,2,1,0
62,79.96656765154137,-2.941912012280669,88,False,0.9398537314349842,2,0,1,2
63,78.63640457688632,-2.891032072798616,81,False,0.9389138777035492,0,0,0,0
64,78.22667517514628,-3.1804217868840237,84,False,0.9379749638258457,0,1,1,0
65,79.5266572535557,-3.397040625651055,84,False,0.9370369888620198,0,0,0,1
66,75.46677539627585,-3.370659984856803,89,False,0.9360999518731578,2,2,3,1
