episode,avg_rewards,avg_steps,avg_success,epsilon,time_elapsed,real_time_elapsed
100,-0.6114751301514684,76.88,7.000000000000001,0.9056978449586682,0.07847920900002237,0.0
200,-0.654018879573603,78.6,6.0,0.8194682977764125,0.0977773749999642,0.0
300,-0.4658847013912439,75.31,12.0,0.7414484806367364,0.15426975000002585,0.0
400,-0.5153376205263839,79.42,12.0,0.6708567627695098,0.12375204200003509,0.0
500,-0.5919368119945049,78.39,8.0,0.6069859307919768,0.13737916600001654,0.0
600,-0.6008036559990737,78.32,8.0,0.5491961035890855,0.14254066699999157,0.0
700,-0.5463910052778674,76.62,9.0,0.49690832175285177,0.10592320799997879,0.0
800,-0.46983824062715973,77.7,13.0,0.44959874735743227,0.0768606249999948,0.0
900,-0.5716729613576753,74.23,8.0,0.4067934159611651,0.08475650000002588,0.0
1000,-0.5021425396422038,75.11,10.0,0.36806348825922275,0.15179733300004727,0.0
1100,-0.5390126553380287,82.81,12.0,0.3330209538162239,0.10733250000004091,0.0
1200,-0.48716246407129804,81.32,14.000000000000002,0.3013147438372364,0.0730305419999695,0.0
1300,-0.4080263008984897,80.8,17.0,0.2726272140335106,0.11163558299995202,0.0
1400,-0.5951584871457745,81.35,9.0,0.24667096234700878,0.1255002919999697,0.0
1500,-0.5134319489451645,80.76,13.0,0.22318594965255484,0.13329383299992514,0.0
1600,-0.6894378228014769,84.34,7.000000000000001,0.2019368945917472,0.14032320800004072,0.0
1700,-0.8033349328901711,88.25,4.0,0.1827109164391416,0.1210875419999411,0.0
1800,-0.6161573675068666,86.77,11.0,0.1653154023860845,0.13345504200003688,0.0
1900,-0.6951987471433608,89.04,9.0,0.14957607787587202,0.2561235420000685,0.0
2000,-0.721235194712402,86.88,6.0,0.13533526065815754,0.07137675000001309,0.0
2100,-0.724293140353495,90.88,8.0,0.12245028107108785,0.16245741600005204,0.0
2200,-0.5959726118196452,88.37,13.0,0.11079205272498677,0.17532041599997683,0.0
2300,-0.7810163723962883,88.86,5.0,0.100243779268176,0.09282095800006118,0.0
2400,-0.6186695116571012,85.11,9.0,0.0906997842788457,0.08692687500001739,0.0
2500,-0.6912224721684354,90.78,10.0,0.08206445256040702,0.13147524999999405,0.0
2600,-0.7069949606272161,88.68,9.0,0.07425127223384173,0.11317220899991298,0.0
2700,-0.6204748454948233,90.71,12.0,0.06718196803038223,0.11547954200000277,0.0
2800,-0.6403560919851828,85.04,9.0,0.06078571710153414,0.11827608299995518,0.0
2900,-0.683578517622211,91.16,10.0,0.054998439490143596,0.13814720899995336,0.0
3000,-0.7474384844908027,89.24,7.000000000000001,0.04976215615419044,0.15043791699997655,0.0
3100,-0.6836797102764727,91.88,11.0,0.045024408111757654,0.14102633300001344,0.0
3200,-0.6754227904583497,89.74,9.0,0.04073773088796111,0.09681116699994163,0.0
3300,-0.8205160403124462,91.34,4.0,0.03685917899865878,0.1002483749999783,0.0
3400,-0.7111818441760822,92.64,9.0,0.033349895707044996,0.16001300000004903,0.0
3500,-0.8854098355860716,98.79,5.0,0.03017472374279552,0.19493650000003981,0.0
3600,-0.6593065970297658,91.12,11.0,0.027301853083806962,0.20415558400009104,0.0
3700,-0.7151494054639662,96.51,11.0,0.024702502271880755,0.12218545899997935,0.0
3800,-0.7813762006181743,92.81,7.000000000000001,0.022350630069656263,0.12837941699990552,0.0
3900,-0.9039178921957338,101.13,5.0,0.0202226745700685,0.20432279199997083,0.0
4000,-0.8504100864676003,100.05,7.000000000000001,0.01829731714463408,0.13097900000002483,0.0
4100,-0.7668510275542154,101.04,10.0,0.016555268865713936,0.11901649999992969,0.0
4200,-0.7467206581208536,97.56,9.0,0.014979077263054056,0.1673329579999745,0.0
4300,-0.8196636846209389,94.32,6.0,0.013552951478620824,0.14450062499997784,0.0
4400,-1.0179407259958289,109.62,4.0,0.012262604068069257,0.23607991699998365,0.0
4500,-0.9966691266300116,108.33,4.0,0.011095107863953686,0.2000652500000797,0.0
4600,-0.9522215550892811,107.04,6.0,0.010038766466684862,0.11540491699997801,0.0
4700,-0.8240338672422807,98.1,7.000000000000001,0.01,0.1259507909999229,0.0
4800,-0.8451050619447886,102.65,8.0,0.01,0.14690974999996342,0.0
4900,-0.860577488865976,102.35,7.000000000000001,0.01,0.1281557919999159,0.0
5000,-0.8597339634850074,102.08,8.0,0.01,0.17938087499987887,0.0
