episode,reward,steps,avg10,avg100,epsilon,time_elapsed,real_time_elapsed,timestamp
100,-1.6812965393066406,86,8.992534637451172,20.723209481716157,0.9056978449586682,0.004165250000000231,0.0,2025-04-09 20:49:29.189586
200,49.9,67,3.4467042064666744,1.6966037073135374,0.8194682977764125,0.002073208000000104,0.0,2025-04-09 20:49:29.384160
300,-1.798845672607422,74,-2.3768419551849367,-1.5278492107391362,0.7414484806367364,0.0022537090000001037,0.0,2025-04-09 20:49:29.561162
400,-3.1908527374267583,88,2.6724154090881345,-1.9101327576637268,0.6708567627695098,0.0023916250000000083,0.0,2025-04-09 20:49:29.732354
500,-4.911155319213868,51,-3.2360332107543948,-2.4396676869392393,0.6069859307919768,0.0007566250000001773,0.0,2025-04-09 20:49:29.927804
600,-4.679698181152344,67,-4.538160371780395,-3.9065239467620847,0.5491961035890855,0.002204375000000258,0.0,2025-04-09 20:49:30.232037
700,-4.014853668212891,55,-4.851380500793457,-4.397657238483429,0.49690832175285177,0.0009613330000002307,0.0,2025-04-09 20:49:30.589172
800,-6.973651123046875,71,-6.252057018280031,-5.189493402481079,0.44959874735743227,0.006456208000000352,0.0,2025-04-09 20:49:31.040576
900,-5.805838012695314,107,-5.4395862007141105,-5.0273530416488645,0.4067934159611651,0.009723333000000167,0.0,2025-04-09 20:49:31.549554
1000,-9.253067398071291,88,-5.594542484283449,-5.540700842857361,0.36806348825922275,0.011938166999999389,0.0,2025-04-09 20:49:32.003595
1100,-6.663490676879883,96,-5.436162300109863,-6.3780773239135735,0.3330209538162239,0.004045500000000146,0.0,2025-04-09 20:49:32.472648
1200,-11.205293273925783,120,-7.461562004089356,-7.489695113182068,0.3013147438372364,0.0102842910000005,0.0,2025-04-09 20:49:33.238627
1300,-6.462349319458008,51,-7.61799951553345,-6.458821913719178,0.2726272140335106,0.0009273329999999191,0.0,2025-04-09 20:49:33.805011
1400,-7.573566436767578,64,-8.696900901794434,-7.319370223999023,0.24667096234700878,0.000941792000000774,0.0,2025-04-09 20:49:34.517092
1500,-7.05769729614258,104,-8.504436683654783,-7.842693714141846,0.22318594965255484,0.01014979199999999,0.0,2025-04-09 20:49:35.339150
1600,-3.5989101409912108,73,-9.09976800918579,-8.321877005577088,0.2019368945917472,0.0036682499999987073,0.0,2025-04-09 20:49:36.123380
1700,-3.9196624755859384,78,-8.216012268066404,-8.474333740234375,0.1827109164391416,0.006665082999999683,0.0,2025-04-09 20:49:37.081539
1800,-8.495922088623049,116,-10.058983192443844,-9.377651472091674,0.1653154023860845,0.009975416999999709,0.0,2025-04-09 20:49:38.077362
1900,-9.863802337646485,63,-10.314859390258789,-10.310627875328064,0.14957607787587202,0.0025721250000003693,0.0,2025-04-09 20:49:39.428822
2000,-16.88000335693359,134,-10.934491672515868,-10.13921493577957,0.13533526065815754,0.022314124999999407,0.0,2025-04-09 20:49:40.470115
2100,-9.25157241821289,62,-11.18867393493652,-10.635076428413388,0.12245028107108785,0.004026959000000829,0.0,2025-04-09 20:49:41.679476
2200,-8.656268310546876,107,-10.981081161499024,-11.466903377532958,0.11079205272498677,0.0074878749999989225,0.0,2025-04-09 20:49:43.067349
2300,-17.136582183837884,139,-16.364117221832274,-12.264755055904386,0.100243779268176,0.020839875000000063,0.0,2025-04-09 20:49:44.806372
2400,-11.958119201660143,134,-15.130821418762196,-12.528095031738278,0.0906997842788457,0.025588208999998585,0.0,2025-04-09 20:49:46.782193
2500,-12.31624450683593,158,-11.18850446701049,-13.255419474124908,0.08206445256040702,0.04135783299999929,0.0,2025-04-09 20:49:48.797727
