episode,reward,steps,avg10,avg100,avg100success,epsilon,time_elapsed,real_time_elapsed,timestamp
100,3.8490477887493366,144.95,-0.48617420987706395,-0.7123684140302147,17.0,0.9056978449586682,0.0885576669999999,0.0,2025-04-11 11:22:35.289239
200,-2.704735490798951,146.23,-1.0656539185776186,-0.7473097753047139,18.0,0.8194682977764125,0.09512304199999733,0.0,2025-04-11 11:22:44.647813
300,-2.754235896110536,150.5,-0.17514266044667162,-0.5654745454115343,18.0,0.7414484806367364,0.10743579200000042,0.0,2025-04-11 11:22:54.343679
400,-2.461580496788026,148.84,-0.4461851856260459,-0.6926538320114602,16.0,0.6708567627695098,0.09763149999999854,0.0,2025-04-11 11:23:04.038362
500,8.420722307703468,149.23,-0.8780222278844143,-0.6494127923380387,18.0,0.6069859307919768,0.10494962499999616,0.0,2025-04-11 11:23:13.190619
600,-2.307205389022828,152.01,-2.622525776672364,-1.3729802013542562,12.0,0.5491961035890855,0.07662312500000468,0.0,2025-04-11 11:23:22.191523
700,3.308783682885008,153.13,-1.4935114131356904,-0.9926330265336724,15.0,0.49690832175285177,0.10303912500000934,0.0,2025-04-11 11:23:31.482122
800,-2.4117581462860116,152.58,-0.4868585242774016,-0.44797993017592025,21.0,0.44959874735743227,0.0840170000000029,0.0,2025-04-11 11:23:40.816345
900,-2.434952226638795,152.27,-1.3439500992689393,-0.8636353236640157,16.0,0.4067934159611651,0.10502962500000024,0.0,2025-04-11 11:23:51.161397
1000,-2.5332983989715587,151.28,-1.7348695324563377,-0.21430514167536097,21.0,0.36806348825922275,0.14504795800000636,0.0,2025-04-11 11:24:04.869951
1100,-2.9342462921142594,153.22,0.11758011259954508,-0.46615993848323484,20.0,0.3330209538162239,0.14798050000000273,0.0,2025-04-11 11:24:18.770748
1200,-2.5537762413024914,156.52,-1.5748359200702142,-1.0440569204859853,13.0,0.3013147438372364,0.18170237500001463,0.0,2025-04-11 11:24:33.820241
1300,-2.994902465820314,160.05,0.7049882172433677,-0.5520997629292852,20.0,0.2726272140335106,0.19656754099997897,0.0,2025-04-11 11:24:50.923180
1400,-2.4909656124115003,158.35,0.06371114049420638,-1.2910078770362867,13.0,0.24667096234700878,0.14390083300000356,0.0,2025-04-11 11:25:04.934415
1500,-2.71602574157715,160.88,-1.1250637733802296,-1.6458675310711786,8.0,0.22318594965255484,0.1425880829999926,0.0,2025-04-11 11:25:21.054515
1600,9.127686405438158,153.91,0.7861367830167558,-0.3474899927781888,20.0,0.2019368945917472,0.16049845899999582,0.0,2025-04-11 11:25:35.571087
1700,10.487364934413119,158.41,-1.3430103207142654,-0.6623895462113033,21.0,0.1827109164391416,0.12325683299999923,0.0,2025-04-11 11:25:50.428384
1800,-3.6071311225891005,161.37,-2.185065574616474,-1.1194932916514706,14.000000000000002,0.1653154023860845,0.1614944590000107,0.0,2025-04-11 11:26:01.580325
1900,8.553970190194772,164.87,0.27405057428439694,-0.7682152613990489,18.0,0.14957607787587202,0.09187137500001086,0.0,2025-04-11 11:26:14.021864
2000,-2.1281965179443367,160.51,-0.021507154193954613,-0.9494283013314998,15.0,0.13533526065815754,0.10767183300001193,0.0,2025-04-11 11:26:26.932976
2100,-2.0018356351852424,162.22,-0.8839803746246904,-0.9809403068015815,15.0,0.12245028107108785,0.08915045899999541,0.0,2025-04-11 11:26:40.642178
2200,-2.783467445373536,164.19,-1.445448165701178,-1.6209949799843144,10.0,0.11079205272498677,0.14730108299994527,0.0,2025-04-11 11:26:54.155141
2300,9.178113692224809,166.34,-1.7527612476407661,-1.4460553082322543,13.0,0.100243779268176,0.13208966700000246,0.0,2025-04-11 11:27:08.558157
2400,-2.624112094879152,165.35,-2.789054847717284,-1.160840744267282,15.0,0.0906997842788457,0.11446745800003555,0.0,2025-04-11 11:27:22.259792
2500,-2.2331514396667487,171.7,-1.3917887774201436,-0.7350874442300628,18.0,0.08206445256040702,0.08156208400004061,0.0,2025-04-11 11:27:34.283512
2600,-2.6373465785980237,172.19,-2.0479548140318258,-2.1112689683231296,6.0,0.07425127223384173,0.10515791599999602,0.0,2025-04-11 11:27:45.987596
2700,-2.1771783027648937,168.28,-0.5380160828095277,-1.3584243216522935,14.000000000000002,0.06718196803038223,0.07364141700003302,0.0,2025-04-11 11:27:57.026434
2800,-2.3944337549209607,190.76,-1.5420563491831458,-1.6335818345879656,12.0,0.06078571710153414,0.09307616699999244,0.0,2025-04-11 11:28:09.820262
2900,-2.8111410961151138,200.19,-2.0845176220199257,-2.1097052913898673,10.0,0.054998439490143596,0.10907329100001562,0.0,2025-04-11 11:28:22.960651
3000,-2.434430162429811,201.34,-3.1196534337043706,-1.8416210552016394,11.0,0.05,0.09697362500003237,0.0,2025-04-11 11:28:37.276650
3100,0.9603277338552172,197.62,-1.8056449675712127,-1.6425389450354126,14.000000000000002,0.05,0.11707095799999934,0.0,2025-04-11 11:28:51.399603
